Month,Year,Day,Date,Open,High,Low,Close,Adj Close,Volume,Growth
5,2562,2,2/5/2019,4.141295,4.489628,4.063888,4.450925,4.450925,419804,0.075
5,2562,3,3/5/2019,4.334814,4.412221,3.77361,3.870369,3.870369,753778,-0.107
5,2562,7,7/5/2019,3.870369,3.947777,3.792962,3.870369,3.870369,267416,0.000
5,2562,8,8/5/2019,3.870369,4.489628,3.831666,4.29611,4.29611,877125,0.110
5,2562,9,9/5/2019,4.179999,4.489628,4.179999,4.257406,4.257406,204889,0.019
5,2562,10,10/5/2019,4.29611,4.334814,3.77361,3.792962,3.792962,1022331,-0.117
5,2562,13,13/5/2019,3.870369,3.870369,2.902777,3.154351,3.154351,2251722,-0.185
5,2562,14,14/5/2019,3.193055,3.193055,3.018888,3.193055,3.193055,292323,0.000
5,2562,15,15/5/2019,3.173703,3.193055,2.902777,3.134999,3.134999,598134,-0.012
5,2562,16,16/5/2019,3.115647,3.154351,2.960832,3.115647,3.115647,172748,0.000
5,2562,17,17/5/2019,3.115647,3.309166,3.096295,3.231758,3.231758,385751,0.037
5,2562,21,21/5/2019,3.231758,3.25111,3.173703,3.231758,3.231758,218945,0.000
5,2562,22,22/5/2019,3.231758,3.231758,3.076943,3.154351,3.154351,488015,-0.024
5,2562,23,23/5/2019,3.154351,3.173703,3.057592,3.115647,3.115647,223802,-0.012
5,2562,24,24/5/2019,3.115647,3.231758,3.03824,3.173703,3.173703,297077,0.019
5,2562,27,27/5/2019,3.231758,3.289814,3.193055,3.270462,3.270462,230778,0.012
5,2562,28,28/5/2019,3.270462,3.270462,3.173703,3.25111,3.25111,193883,-0.006
5,2562,29,29/5/2019,3.25111,3.25111,3.173703,3.25111,3.25111,243129,0.000
5,2562,30,30/5/2019,3.25111,3.270462,3.193055,3.25111,3.25111,32761,0.000
5,2562,31,31/5/2019,3.25111,3.25111,3.134999,3.25111,3.25111,293046,0.000
6,2562,4,4/6/2019,3.193055,3.193055,3.057592,3.154351,3.154351,261163,-0.012
6,2562,5,5/6/2019,3.173703,3.193055,2.980184,3.057592,3.057592,630844,-0.037
6,2562,6,6/6/2019,3.096295,3.193055,2.980184,3.03824,3.03824,265556,-0.019
6,2562,7,7/6/2019,3.096295,3.096295,3.018888,3.057592,3.057592,175073,-0.013
6,2562,10,10/6/2019,3.076943,3.096295,3.03824,3.076943,3.076943,103555,0.000
6,2562,11,11/6/2019,3.096295,3.134999,3.057592,3.096295,3.096295,146290,0.000
6,2562,12,12/6/2019,3.115647,3.154351,3.096295,3.115647,3.115647,84281,0.000
6,2562,13,13/6/2019,3.115647,3.154351,3.096295,3.154351,3.154351,90378,0.012
6,2562,14,14/6/2019,3.173703,3.212406,3.154351,3.212406,3.212406,141795,0.012
6,2562,17,17/6/2019,3.25111,3.347869,3.25111,3.347869,3.347869,352627,0.030
6,2562,18,18/6/2019,3.386573,3.947777,3.367221,3.870369,3.870369,5302439,0.143
6,2562,19,19/6/2019,3.870369,3.870369,3.46398,3.541388,3.541388,1877443,-0.085
6,2562,20,20/6/2019,3.483332,3.618795,3.483332,3.580091,3.580091,351439,0.028
6,2562,21,21/6/2019,3.618795,3.696203,3.599443,3.638147,3.638147,365288,0.005
6,2562,24,24/6/2019,3.657499,3.657499,3.56074,3.599443,3.599443,211762,-0.016
6,2562,25,25/6/2019,3.599443,3.599443,3.483332,3.541388,3.541388,666964,-0.016
6,2562,26,26/6/2019,3.56074,3.580091,3.444629,3.522036,3.522036,424455,-0.011
6,2562,27,27/6/2019,3.618795,3.638147,3.483332,3.522036,3.522036,288189,-0.027
6,2562,28,28/6/2019,3.580091,3.580091,3.483332,3.541388,3.541388,254704,-0.011
7,2562,1,1/7/2019,3.541388,3.56074,3.483332,3.56074,3.56074,416290,0.006
7,2562,2,2/7/2019,3.56074,3.696203,3.541388,3.638147,3.638147,283693,0.022
7,2562,3,3/7/2019,3.638147,3.754258,3.599443,3.754258,3.754258,400065,0.032
7,2562,4,4/7/2019,3.77361,4.179999,3.754258,4.063888,4.063888,4466550,0.077
7,2562,5,5/7/2019,4.063888,4.218702,3.870369,4.063888,4.063888,1066513,0.000
7,2562,8,8/7/2019,4.063888,4.605739,4.063888,4.605739,4.605739,3200056,0.133
7,2562,9,9/7/2019,4.799258,5.03148,4.179999,4.644443,4.644443,7421306,-0.032
7,2562,10,10/7/2019,4.837962,4.954073,4.218702,4.489628,4.489628,4058165,-0.072
7,2562,11,11/7/2019,4.489628,4.644443,4.412221,4.528332,4.528332,1026413,0.009
7,2562,12,12/7/2019,4.528332,4.683147,4.450925,4.605739,4.605739,1252903,0.017
7,2562,15,15/7/2019,4.528332,4.644443,4.489628,4.528332,4.528332,757240,0.000
7,2562,17,17/7/2019,4.567036,4.605739,4.489628,4.567036,4.567036,446934,0.000
7,2562,18,18/7/2019,4.644443,4.760554,4.567036,4.760554,4.760554,1157098,0.025
7,2562,19,19/7/2019,4.915369,4.954073,4.760554,4.915369,4.915369,1830264,0.000
7,2562,22,22/7/2019,5.03148,5.070184,4.760554,4.954073,4.954073,1913615,-0.015
7,2562,23,23/7/2019,4.837962,4.915369,4.567036,4.683147,4.683147,1244273,-0.032
7,2562,24,24/7/2019,4.683147,4.799258,4.450925,4.799258,4.799258,1389324,0.025
7,2562,25,25/7/2019,4.915369,5.263702,4.915369,5.263702,5.263702,5540297,0.071
7,2562,26,26/7/2019,5.224999,5.418517,4.837962,4.992776,4.992776,3749667,-0.044
7,2562,30,30/7/2019,4.915369,4.915369,4.489628,4.837962,4.837962,1950924,-0.016
7,2562,31,31/7/2019,4.683147,4.837962,4.683147,4.837962,4.837962,576482,0.033
8,2562,1,1/8/2019,4.837962,4.876665,4.683147,4.721851,4.721851,998147,-0.024
8,2562,2,2/8/2019,4.721851,4.721851,4.489628,4.644443,4.644443,946937,-0.016
8,2562,5,5/8/2019,4.644443,4.644443,4.528332,4.605739,4.605739,495869,-0.008
8,2562,6,6/8/2019,4.605739,4.605739,4.489628,4.605739,4.605739,689753,0.000
8,2562,7,7/8/2019,4.605739,4.605739,4.412221,4.450925,4.450925,1162731,-0.034
8,2562,8,8/8/2019,4.567036,4.567036,4.334814,4.412221,4.412221,737035,-0.034
8,2562,9,9/8/2019,4.412221,4.450925,4.334814,4.373517,4.373517,408229,-0.009
8,2562,13,13/8/2019,4.412221,4.412221,4.373517,4.412221,4.412221,148771,0.000
8,2562,14,14/8/2019,4.489628,4.489628,4.373517,4.450925,4.450925,190162,-0.009
8,2562,15,15/8/2019,4.489628,4.489628,4.257406,4.334814,4.334814,811808,-0.035
8,2562,16,16/8/2019,4.373517,4.450925,4.29611,4.373517,4.373517,405284,0.000
8,2562,19,19/8/2019,4.450925,4.644443,4.450925,4.644443,4.644443,586042,0.044
8,2562,20,20/8/2019,4.683147,4.721851,4.605739,4.644443,4.644443,348803,-0.008
8,2562,21,21/8/2019,4.644443,4.721851,4.528332,4.644443,4.644443,356555,0.000
8,2562,22,22/8/2019,4.644443,4.683147,4.567036,4.605739,4.605739,140193,-0.008
8,2562,23,23/8/2019,4.605739,4.644443,4.489628,4.605739,4.605739,352524,0.000
8,2562,26,26/8/2019,4.605739,4.605739,4.528332,4.567036,4.567036,205303,-0.008
8,2562,27,27/8/2019,4.644443,4.644443,4.605739,4.605739,4.605739,297801,-0.008
8,2562,28,28/8/2019,4.644443,4.683147,4.528332,4.567036,4.567036,330924,-0.017
8,2562,29,29/8/2019,4.605739,4.605739,4.489628,4.567036,4.567036,227678,-0.008
8,2562,30,30/8/2019,4.605739,4.760554,4.567036,4.644443,4.644443,724530,0.008
9,2562,2,2/9/2019,4.721851,4.721851,4.489628,4.567036,4.567036,633996,-0.033
9,2562,3,3/9/2019,4.605739,4.644443,4.450925,4.528332,4.528332,1094934,-0.017
9,2562,4,4/9/2019,4.528332,4.528332,4.412221,4.489628,4.489628,291651,-0.009
9,2562,5,5/9/2019,4.528332,4.528332,4.025184,4.257406,4.257406,1845198,-0.060
9,2562,6,6/9/2019,4.257406,4.373517,4.141295,4.257406,4.257406,615496,0.000
9,2562,9,9/9/2019,4.412221,4.644443,4.412221,4.644443,4.644443,1231975,0.053
9,2562,10,10/9/2019,4,4,3.74,4,4,2228450,0.000
9,2562,11,11/9/2019,4,4,3.88,3.98,3.98,875600,-0.005
9,2562,12,12/9/2019,3.98,3.98,3.92,3.96,3.96,910950,-0.005
9,2562,13,13/9/2019,3.96,3.98,3.92,3.96,3.96,844300,0.000
9,2562,16,16/9/2019,3.98,4,3.92,4,4,733050,0.005
9,2562,17,17/9/2019,4.04,4.16,4,4.04,4.04,828600,0.000
9,2562,18,18/9/2019,4.04,4.04,3.94,4,4,635250,-0.010
9,2562,19,19/9/2019,4,4,3.96,4,4,382000,0.000
9,2562,20,20/9/2019,4,4,3.88,3.96,3.96,1019100,-0.010
9,2562,23,23/9/2019,3.96,4,3.92,3.96,3.96,427700,0.000
9,2562,24,24/9/2019,3.96,4,3.96,4,4,690500,0.010
9,2562,25,25/9/2019,4.04,4.04,3.98,4.04,4.04,1437200,0.000
9,2562,26,26/9/2019,4.08,4.32,4.08,4.24,4.24,1589200,0.039
9,2562,27,27/9/2019,4.28,4.28,4.04,4.12,4.12,948900,-0.037
9,2562,30,30/9/2019,4.12,4.12,4.04,4.08,4.08,433100,-0.010
