Year,institutional_loan,pp,bond_value,common_stock,Sum
2565,8833060657.00,5580000000.00,4523100000.00,4063000000.00,22999160657.00
2564,12496761318.00, -   ,2241000000.00, -   ,14737761318.00
2563,8545525921.00, -   , -   , -   ,8545525921.00
2562,1303001016.00, -   , -   , -   ,1303001016.00
